Player,DOB,player_key,Team,Position,Games played,Entering NCAA Season,Height Display,Weight Display,Active hand,Nationality,Category,Metric,Per-game value,NCAA Avg,Percentile,Season,Season GP,Season Points,Season Goals,Season Assists,Season PIM
Matt Argentina,2003-01-16,Matt Argentina|2003-01-16,Northern Michigan,F,34,5,"5'11""",194,Right,,Offense,Assists,0.18,0.30043859649122806,30.555555555555557,2025-26,34,10.0,4.0,6.0,
Garrett Horsager,2002-02-02,Garrett Horsager|2002-02-02,Bentley,D,24,4,"6'0""",181,Left,,Offense,Assists,0.21,0.2481720430107527,47.8494623655914,2025-26,24,8.0,3.0,5.0,
Nathan McBrayer,2004-05-11,Nathan McBrayer|2004-05-11,Ohio State,D,36,4,"6'0""",194,Left,,Offense,Assists,0.17,0.2481720430107527,37.096774193548384,2025-26,36,10.0,4.0,6.0,
Luc Laylin,2001-12-30,Luc Laylin|2001-12-30,St. Thomas,F,37,5,"5'8""",170,Right,,Offense,Assists,0.05,0.30043859649122806,1.9005847953216373,2025-26,37,6.0,4.0,2.0,
Drew Fortescue,2005-04-28,Drew Fortescue|2005-04-28,Boston College,D,37,4,"6'2""",176,Left,,Offense,Assists,0.27,0.2481720430107527,64.24731182795699,2025-26,37,14.0,4.0,10.0,
Jimmy Clark,2004-09-24,Jimmy Clark|2004-09-24,Minnesota,F,37,4,"6'0""",179,Left,,Offense,Assists,0.27,0.30043859649122806,51.16959064327485,2025-26,37,14.0,4.0,10.0,
David Ma,2002-06-22,David Ma|2002-06-22,Princeton,D,35,5,"5'11""",174,Left,,Offense,Assists,0.14,0.2481720430107527,27.688172043010752,2025-26,35,9.0,4.0,5.0,
William Howard,2001-11-30,William Howard|2001-11-30,Augustana,F,38,4,"6'2""",190,Left,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,38,8.0,4.0,4.0,
Lane Brockhoff,2000-04-11,Lane Brockhoff|2000-04-11,Niagara,D,35,5,"6'1""",207,Left,,Offense,Assists,0.31,0.2481720430107527,70.16129032258065,2025-26,35,15.0,4.0,11.0,
Ryan Alexander,2002-06-17,Ryan Alexander|2002-06-17,Colorado College,F,35,5,"5'10""",179,Left,,Offense,Assists,0.31,0.30043859649122806,59.50292397660819,2025-26,35,15.0,4.0,11.0,
Holden Doell,2003-12-01,Holden Doell|2003-12-01,Ferris State,F,27,4,"5'11""",185,Right,,Offense,Assists,0.19,0.30043859649122806,32.89473684210527,2025-26,27,8.0,3.0,5.0,
Owen Murray,2002-12-01,Owen Murray|2002-12-01,UMass Minuteme,D,35,5,"5'10""",181,Right,,Offense,Assists,0.14,0.2481720430107527,27.688172043010752,2025-26,35,9.0,4.0,5.0,
Charlie Schoen,2001-06-02,Charlie Schoen|2001-06-02,St. Thomas,F,28,4,"5'10""",161,Right,,Offense,Assists,0.5,0.30043859649122806,85.81871345029239,2025-26,28,17.0,3.0,14.0,
Robby Newton,2001-07-16,Robby Newton|2001-07-16,Colgate,F,35,4,"5'9""",194,Right,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,35,8.0,4.0,4.0,
Nate Benoit,2002-11-26,Nate Benoit|2002-11-26,Long Island,D,35,4,"6'1""",187,Left,,Offense,Assists,0.31,0.2481720430107527,70.16129032258065,2025-26,35,15.0,4.0,11.0,
Thomas Sinclair,2002-12-26,Thomas Sinclair|2002-12-26,Vermont,F,35,5,"6'3""",194,Right,,Offense,Assists,0.17,0.30043859649122806,27.631578947368425,2025-26,35,10.0,4.0,6.0,
Cy LeClerc,2002-08-17,Cy LeClerc|2002-08-17,New Hampshire,F,35,5,"5'9""",174,Left,,Offense,Assists,0.37,0.30043859649122806,69.73684210526315,2025-26,35,17.0,4.0,13.0,
Cale Ashcroft,2004-08-05,Cale Ashcroft|2004-08-05,Denver,D,44,4,"5'10""",185,Left,,Offense,Assists,0.23,0.2481720430107527,51.88172043010753,2025-26,44,15.0,5.0,10.0,
Grant Ahcan,2002-05-18,Grant Ahcan|2002-05-18,St. Cloud State,F,36,5,"5'11""",165,Left,,Offense,Assists,0.14,0.30043859649122806,21.929824561403507,2025-26,36,9.0,4.0,5.0,
Michael Craig,2002-08-26,Michael Craig|2002-08-26,Robert Morris,D,27,4,"5'10""",174,Right,,Offense,Assists,0.41,0.2481720430107527,83.60215053763442,2025-26,27,14.0,3.0,11.0,
Gunnar Thoreson,2002-03-19,Gunnar Thoreson|2002-03-19,St. Lawrence,F,35,4,"5'10""",185,Left,,Offense,Assists,0.17,0.30043859649122806,27.631578947368425,2025-26,35,10.0,4.0,6.0,
TJ Schweighardt,2001-03-15,TJ Schweighardt|2001-03-15,UMass-Lowell,D,36,5,"6'0""",181,Right,,Offense,Assists,0.42,0.2481720430107527,84.67741935483872,2025-26,36,19.0,4.0,15.0,
Ryan Healey,2004-05-19,Ryan Healey|2004-05-19,Harvard,D,35,5,"6'0""",176,Right,,Offense,Assists,0.2,0.2481720430107527,45.16129032258064,2025-26,35,11.0,4.0,7.0,
Thomas Freel,2001-06-26,Thomas Freel|2001-06-26,Maine,F,35,5,"5'11""",181,Left,,Offense,Assists,0.26,0.30043859649122806,48.39181286549707,2025-26,35,13.0,4.0,9.0,
Austen May,2003-05-19,Austen May|2003-05-19,Northeastern,D,36,5,"5'11""",170,Right,,Offense,Assists,0.17,0.2481720430107527,37.096774193548384,2025-26,36,10.0,4.0,6.0,
Dario Beljo,2002-08-15,Dario Beljo|2002-08-15,Robert Morris,F,27,4,"6'3""",190,Left,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,27,6.0,3.0,3.0,
Matthew Morden,2004-07-29,Matthew Morden|2004-07-29,Harvard,D,35,4,"6'4""",203,Left,,Offense,Assists,0.46,0.2481720430107527,87.36559139784946,2025-26,35,20.0,4.0,16.0,
Ethan Bono,2004-01-15,Ethan Bono|2004-01-15,Rensselaer,F,36,4,"6'3""",201,Left,,Offense,Assists,0.19,0.30043859649122806,32.89473684210527,2025-26,36,11.0,4.0,7.0,
William Smith,2003-03-29,William Smith|2003-03-29,Ohio State,D,37,4,"6'1""",194,Left,,Offense,Assists,0.22,0.2481720430107527,50.0,2025-26,37,12.0,4.0,8.0,
Luke van Why,2003-01-21,Luke van Why|2003-01-21,Robert Morris,D,31,4,"5'10""",172,Right,,Offense,Assists,0.19,0.2481720430107527,42.473118279569896,2025-26,31,9.0,3.0,6.0,
Ethan Zielke,2003-08-03,Ethan Zielke|2003-08-03,Lindenwood,F,29,4,"5'10""",179,Left,,Offense,Assists,0.31,0.30043859649122806,59.50292397660819,2025-26,29,12.0,3.0,9.0,
John Driscoll,2001-08-19,John Driscoll|2001-08-19,Sacred Heart,D,41,5,"6'4""",205,Left,,Offense,Assists,0.2,0.2481720430107527,45.16129032258064,2025-26,41,12.0,4.0,8.0,
Tyler Rubin,2003-01-10,Tyler Rubin|2003-01-10,Princeton,D,31,5,"5'10""",150,Left,,Offense,Assists,0.42,0.2481720430107527,84.67741935483872,2025-26,31,16.0,3.0,13.0,
Brady Hunter,2002-07-27,Brady Hunter|2002-07-27,Stonehill,F,31,4,"5'8""",174,Left,,Offense,Assists,0.16,0.30043859649122806,25.584795321637426,2025-26,31,8.0,3.0,5.0,
Kalen Szeto,2002-10-12,Kalen Szeto|2002-10-12,Yale,F,31,5,"5'7""",154,Right,,Offense,Assists,0.06,0.30043859649122806,3.070175438596491,2025-26,31,5.0,3.0,2.0,
Trevor Russell,2000-02-02,Trevor Russell|2000-02-02,Rensselaer,D,30,5,"6'2""",205,Right,,Offense,Assists,0.03,0.2481720430107527,1.881720430107527,2025-26,30,4.0,3.0,1.0,
Campbell Cichosz,2001-08-23,Campbell Cichosz|2001-08-23,Minnesota State,D,40,5,"6'1""",185,Right,,Offense,Assists,0.22,0.2481720430107527,50.0,2025-26,40,13.0,4.0,9.0,
Kyle Gaffney,2001-09-05,Kyle Gaffney|2001-09-05,Minnesota Duluth,F,39,5,"6'0""",181,Left,,Offense,Assists,0.33,0.30043859649122806,65.05847953216374,2025-26,39,17.0,4.0,13.0,
Luca Fantilli,2002-12-30,Luca Fantilli|2002-12-30,Michigan,D,42,5,"6'0""",183,Left,,Offense,Assists,0.33,0.2481720430107527,75.53763440860214,2025-26,42,18.0,4.0,14.0,
Michael Cataldo,2003-05-04,Michael Cataldo|2003-05-04,Brown,F,31,4,"6'1""",201,Right,,Offense,Assists,0.13,0.30043859649122806,20.029239766081872,2025-26,31,7.0,3.0,4.0,
Jakob Stender,2002-08-07,Jakob Stender|2002-08-07,Minnesota State,D,40,4,"6'1""",185,Left,,Offense,Assists,0.1,0.2481720430107527,18.548387096774192,2025-26,40,8.0,4.0,4.0,
Mikey Adamson,2001-08-16,Mikey Adamson|2001-08-16,Sacred Heart,D,40,5,"5'9""",170,Left,,Offense,Assists,0.73,0.2481720430107527,100.0,2025-26,40,33.0,4.0,29.0,
Elan Bar-Lev-Wise,2001-02-01,Elan Bar-Lev-Wise|2001-02-01,Yale,F,11,4,"6'0""",190,Right,,Offense,Assists,,0.30043859649122806,,2025-26,11,1.0,1.0,,
Connor Eddy,2002-04-18,Connor Eddy|2002-04-18,UMass-Lowell,F,33,5,"6'1""",201,Left,,Offense,Assists,0.18,0.30043859649122806,30.555555555555557,2025-26,33,9.0,3.0,6.0,
Ethan Benz,2001-03-29,Ethan Benz|2001-03-29,Union,F,22,5,"6'1""",190,Left,,Offense,Assists,0.09,0.30043859649122806,6.871345029239766,2025-26,22,4.0,2.0,2.0,
Eli Sebastian,2004-05-19,Eli Sebastian|2004-05-19,Northeastern,F,35,4,"5'11""",192,Left,,Offense,Assists,0.09,0.30043859649122806,6.871345029239766,2025-26,35,6.0,3.0,3.0,
Jacob Badal,2001-10-05,Jacob Badal|2001-10-05,Ferris State,F,22,4,"6'1""",201,Left,,Offense,Assists,0.09,0.30043859649122806,6.871345029239766,2025-26,22,4.0,2.0,2.0,
Finlay Williams,2003-04-21,Finlay Williams|2003-04-21,Minnesota State,F,34,4,"6'1""",185,Right,,Offense,Assists,0.32,0.30043859649122806,62.57309941520468,2025-26,34,14.0,3.0,11.0,
Barrett Brooks,2001-12-19,Barrett Brooks|2001-12-19,Mercyhurst,F,34,4,"5'7""",170,Right,,Offense,Assists,0.03,0.30043859649122806,0.5847953216374269,2025-26,34,4.0,3.0,1.0,
Warren Clark,2004-08-31,Warren Clark|2004-08-31,Northern Michigan,D,33,4,"6'3""",194,Right,,Offense,Assists,0.09,0.2481720430107527,16.666666666666664,2025-26,33,6.0,3.0,3.0,
Matthew Wilde,2002-04-30,Matthew Wilde|2002-04-30,UMass Minuteme,F,23,4,"6'3""",185,Left,,Offense,Assists,0.17,0.30043859649122806,27.631578947368425,2025-26,23,6.0,2.0,4.0,
Owen Mehlenbacher,2004-01-26,Owen Mehlenbacher|2004-01-26,UMass Minuteme,F,33,4,"6'2""",190,Left,,Offense,Assists,0.21,0.30043859649122806,36.84210526315789,2025-26,33,10.0,3.0,7.0,
Jaeden Mercier,2002-02-12,Jaeden Mercier|2002-02-12,Lindenwood,F,32,4,"5'11""",170,Right,,Offense,Assists,0.22,0.30043859649122806,39.473684210526315,2025-26,32,10.0,3.0,7.0,
Quinton Pepper,2002-01-31,Quinton Pepper|2002-01-31,St. Thomas,F,32,5,"5'0""",159,Right,,Offense,Assists,0.19,0.30043859649122806,32.89473684210527,2025-26,32,9.0,3.0,6.0,
Samuel Deckhut,2002-04-02,Samuel Deckhut|2002-04-02,Ohio State,F,33,4,"5'11""",194,Left,,Offense,Assists,0.09,0.30043859649122806,6.871345029239766,2025-26,33,6.0,3.0,3.0,
Alex Power,2002-01-04,Alex Power|2002-01-04,Quinnipiac,F,11,4,"6'1""",185,Left,,Offense,Assists,0.09,0.30043859649122806,6.871345029239766,2025-26,11,2.0,1.0,1.0,
Boris Skalos,2003-01-16,Boris Skalos|2003-01-16,RIT,F,23,4,"5'11""",185,Right,,Offense,Assists,0.17,0.30043859649122806,27.631578947368425,2025-26,23,6.0,2.0,4.0,
Peter Kramer,2002-08-08,Peter Kramer|2002-08-08,Bentley,F,22,4,"5'11""",183,Left,,Offense,Assists,0.09,0.30043859649122806,6.871345029239766,2025-26,22,4.0,2.0,2.0,
Kristaps Skrastins,2001-11-20,Kristaps Skrastins|2001-11-20,New Hampshire,F,35,5,"5'10""",179,Right,,Offense,Assists,0.17,0.30043859649122806,27.631578947368425,2025-26,35,9.0,3.0,6.0,
Jacob Guevin,2003-01-17,Jacob Guevin|2003-01-17,Nebraska-Omaha,D,33,5,"5'11""",190,Right,,Offense,Assists,0.21,0.2481720430107527,47.8494623655914,2025-26,33,10.0,3.0,7.0,
Anthony Cipollone,2002-05-14,Anthony Cipollone|2002-05-14,Quinnipiac,F,34,5,"5'6""",165,Left,,Offense,Assists,0.18,0.30043859649122806,30.555555555555557,2025-26,34,9.0,3.0,6.0,
Frank Ireland,2001-02-06,Frank Ireland|2001-02-06,Stonehill,F,32,4,"5'11""",185,Left,,Offense,Assists,0.22,0.30043859649122806,39.473684210526315,2025-26,32,10.0,3.0,7.0,
Andrew Centrella,2004-01-01,Andrew Centrella|2004-01-01,Providence,D,34,4,"5'0""",176,Left,,Offense,Assists,0.32,0.2481720430107527,73.11827956989248,2025-26,34,14.0,3.0,11.0,
Hoyt Stanley,2005-02-04,Hoyt Stanley|2005-02-04,Cornell,D,35,4,"6'3""",201,Right,,Offense,Assists,0.34,0.2481720430107527,77.15053763440861,2025-26,35,15.0,3.0,12.0,
C.J. Foley,2004-02-11,C.J. Foley|2004-02-11,Dartmouth,D,34,4,"5'11""",174,Right,,Offense,Assists,0.59,0.2481720430107527,96.7741935483871,2025-26,34,23.0,3.0,20.0,
Pat Lawn,2001-03-26,Pat Lawn|2001-03-26,Bentley,D,22,4,"5'11""",170,Right,,Offense,Assists,0.05,0.2481720430107527,7.258064516129033,2025-26,22,3.0,2.0,1.0,
Cole Galata,2002-03-18,Cole Galata|2002-03-18,Sacred Heart,F,37,4,"6'0""",181,Right,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,37,7.0,3.0,4.0,
Ryan Shostak,2001-09-08,Ryan Shostak|2001-09-08,Brown,F,25,5,"6'0""",190,Left,,Offense,Assists,0.12,0.30043859649122806,17.105263157894736,2025-26,25,5.0,2.0,3.0,
Matthew McGroarty,2003-01-30,Matthew McGroarty|2003-01-30,Quinnipiac,F,37,4,"5'10""",172,Right,,Offense,Assists,0.08,0.30043859649122806,5.263157894736842,2025-26,37,6.0,3.0,3.0,
Hayden Hennen,2002-08-13,Hayden Hennen|2002-08-13,Augustana,D,38,4,"6'3""",181,Right,,Offense,Assists,0.32,0.2481720430107527,73.11827956989248,2025-26,38,15.0,3.0,12.0,
Evan Bushy,2002-03-26,Evan Bushy|2002-03-26,Lake Superior State,D,38,4,"6'1""",194,Left,,Offense,Assists,0.26,0.2481720430107527,60.483870967741936,2025-26,38,13.0,3.0,10.0,
Graham Gamache,2002-06-11,Graham Gamache|2002-06-11,Providence,F,36,4,"5'11""",183,Right,,Offense,Assists,0.39,0.30043859649122806,73.39181286549707,2025-26,36,17.0,3.0,14.0,
Tucker Ness,2002-11-25,Tucker Ness|2002-11-25,Arizona State,D,25,5,"6'3""",218,Right,,Offense,Assists,,0.2481720430107527,,2025-26,25,2.0,2.0,,
Charlie Banquier,2002-10-06,Charlie Banquier|2002-10-06,Stonehill,D,37,4,"6'2""",201,Right,,Offense,Assists,0.24,0.2481720430107527,55.107526881720425,2025-26,37,12.0,3.0,9.0,
Colton Cameron,2002-07-07,Colton Cameron|2002-07-07,Bentley,D,40,4,"5'11""",190,Left,,Offense,Assists,0.05,0.2481720430107527,7.258064516129033,2025-26,40,5.0,3.0,2.0,
Seamus Powell,2004-04-26,Seamus Powell|2004-04-26,Merrimack,D,39,5,"6'0""",165,Left,,Offense,Assists,0.38,0.2481720430107527,80.91397849462365,2025-26,39,18.0,3.0,15.0,
Joe Palodichuk,2003-02-26,Joe Palodichuk|2003-02-26,Wisconsin,D,37,4,"6'0""",174,Left,,Offense,Assists,0.38,0.2481720430107527,80.91397849462365,2025-26,37,17.0,3.0,14.0,
Reagan Milburn,2003-02-13,Reagan Milburn|2003-02-13,Lake Superior State,F,24,4,"6'0""",190,Left,,Offense,Assists,0.12,0.30043859649122806,17.105263157894736,2025-26,24,5.0,2.0,3.0,
Carter Slaggert,2005-03-04,Carter Slaggert|2005-03-04,Notre Dame,F,37,4,"5'9""",172,Left,,Offense,Assists,0.14,0.30043859649122806,21.929824561403507,2025-26,37,8.0,3.0,5.0,
Grayson Arnott,2001-06-14,Grayson Arnott|2001-06-14,Maine,D,12,5,"5'9""",152,Right,,Offense,Assists,,0.2481720430107527,,2025-26,12,1.0,1.0,,
J.P. Turner,2003-01-31,J.P. Turner|2003-01-31,New Hampshire,F,36,4,"6'0""",194,Right,,Offense,Assists,0.03,0.30043859649122806,0.5847953216374269,2025-26,36,4.0,3.0,1.0,
Joseph Pierce,2002-10-02,Joseph Pierce|2002-10-02,Minnesota Duluth,D,38,5,"6'0""",196,Right,,Offense,Assists,0.05,0.2481720430107527,7.258064516129033,2025-26,38,5.0,3.0,2.0,
Maxim Strbak,2005-04-13,Maxim Strbak|2005-04-13,Michigan State,D,39,4,"6'2""",203,Right,,Offense,Assists,0.41,0.2481720430107527,83.60215053763442,2025-26,39,19.0,3.0,16.0,
Girts Silkalns,2003-06-30,Girts Silkalns|2003-06-30,Northern Michigan,F,25,4,"6'2""",198,Right,,Offense,Assists,0.2,0.30043859649122806,34.64912280701755,2025-26,25,7.0,2.0,5.0,
Luke Mittelstadt,2003-01-22,Luke Mittelstadt|2003-01-22,Minnesota,D,37,5,"5'11""",174,Left,,Offense,Assists,0.51,0.2481720430107527,93.27956989247312,2025-26,37,22.0,3.0,19.0,
David Posma,2003-08-27,David Posma|2003-08-27,Stonehill,D,36,5,"6'0""",170,Left,,Offense,Assists,0.19,0.2481720430107527,42.473118279569896,2025-26,36,10.0,3.0,7.0,
Jack Horbach,2002-05-04,Jack Horbach|2002-05-04,Wisconsin,F,40,5,"5'11""",170,Right,,Offense,Assists,0.15,0.30043859649122806,24.12280701754386,2025-26,40,9.0,3.0,6.0,
Tyler Fukakusa,2002-08-14,Tyler Fukakusa|2002-08-14,Northeastern,F,36,4,"5'11""",181,Left,,Offense,Assists,0.44,0.30043859649122806,80.11695906432749,2025-26,36,19.0,3.0,16.0,
Henry Nelson,2003-03-25,Henry Nelson|2003-03-25,Notre Dame,D,37,4,"6'1""",174,Left,,Offense,Assists,0.27,0.2481720430107527,64.24731182795699,2025-26,37,13.0,3.0,10.0,
Daniel Panetta,2001-05-20,Daniel Panetta|2001-05-20,Colgate,F,36,5,"6'0""",174,Left,,Offense,Assists,0.22,0.30043859649122806,39.473684210526315,2025-26,36,11.0,3.0,8.0,
Cooper Wylie,2001-10-26,Cooper Wylie|2001-10-26,St. Cloud State,D,36,5,"6'1""",190,Left,,Offense,Assists,0.33,0.2481720430107527,75.53763440860214,2025-26,36,15.0,3.0,12.0,
Max Wattvil,2002-08-11,Max Wattvil|2002-08-11,Robert Morris,D,15,4,"6'2""",192,Right,,Offense,Assists,0.07,0.2481720430107527,12.634408602150538,2025-26,15,2.0,1.0,1.0,
Owen DuBois,2002-07-06,Owen DuBois|2002-07-06,Air Force Falcons,F,28,4,"6'4""",201,Left,,Offense,Assists,0.14,0.30043859649122806,21.929824561403507,2025-26,28,6.0,2.0,4.0,
Luke Levandowski,2002-09-26,Luke Levandowski|2002-09-26,Lake Superior State,F,29,4,"6'0""",161,Left,,Offense,Assists,0.21,0.30043859649122806,36.84210526315789,2025-26,29,8.0,2.0,6.0,
Daimon Gardner,2004-01-18,Daimon Gardner|2004-01-18,St. Cloud State,F,27,4,"6'4""",201,Left,,Offense,Assists,0.07,0.30043859649122806,4.385964912280701,2025-26,27,4.0,2.0,2.0,
Ethan Aucoin,2002-08-10,Ethan Aucoin|2002-08-10,St. Cloud State,F,14,5,"6'1""",168,Left,,Offense,Assists,0.14,0.30043859649122806,21.929824561403507,2025-26,14,3.0,1.0,2.0,
Nicholas Van Tassell,2004-04-18,Nicholas Van Tassell|2004-04-18,UMass Minuteme,F,27,4,"6'4""",201,Right,,Offense,Assists,0.37,0.30043859649122806,69.73684210526315,2025-26,27,12.0,2.0,10.0,
Kyle Kukkonen,2002-11-13,Kyle Kukkonen|2002-11-13,Wisconsin,F,28,5,"5'10""",174,Right,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,28,5.0,2.0,3.0,
Spencer Smith,2002-05-20,Spencer Smith|2002-05-20,Mercyhurst,F,14,4,"5'9""",174,Left,,Offense,Assists,0.14,0.30043859649122806,21.929824561403507,2025-26,14,3.0,1.0,2.0,
Tyler DesRochers,2003-04-02,Tyler DesRochers|2003-04-02,Mercyhurst,D,34,4,"6'0""",185,Right,,Offense,Assists,0.15,0.2481720430107527,30.913978494623656,2025-26,34,7.0,2.0,5.0,
Cam Mitchell,2001-03-09,Cam Mitchell|2001-03-09,Nebraska-Omaha,F,35,5,"5'9""",181,Left,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,35,6.0,2.0,4.0,
Tyler Catalano,2004-02-26,Tyler Catalano|2004-02-26,Cornell,F,36,4,"6'4""",225,Right,,Offense,Assists,,0.30043859649122806,,2025-26,36,2.0,2.0,,
Kash Rasmussen,2001-04-20,Kash Rasmussen|2001-04-20,Canisius,F,33,5,"6'1""",179,Left,,Offense,Assists,0.15,0.30043859649122806,24.12280701754386,2025-26,33,7.0,2.0,5.0,
Ryan Rosborough,2000-05-24,Ryan Rosborough|2000-05-24,St. Cloud State,F,34,5,"6'3""",190,Left,,Offense,Assists,0.12,0.30043859649122806,17.105263157894736,2025-26,34,6.0,2.0,4.0,
Mitchell Wolfe,2002-07-19,Mitchell Wolfe|2002-07-19,Bemidji State,D,36,5,"6'0""",185,Left,,Offense,Assists,0.14,0.2481720430107527,27.688172043010752,2025-26,36,7.0,2.0,5.0,
Josh Zinger,2001-08-05,Josh Zinger|2001-08-05,St. Cloud State,D,36,5,"5'11""",181,Right,,Offense,Assists,0.17,0.2481720430107527,37.096774193548384,2025-26,36,8.0,2.0,6.0,
Kyle Bettens,2001-07-04,Kyle Bettens|2001-07-04,Northern Michigan,F,31,5,"6'3""",216,Right,,Offense,Assists,0.32,0.30043859649122806,62.57309941520468,2025-26,31,12.0,2.0,10.0,
Dawson Good,2002-04-17,Dawson Good|2002-04-17,Vermont,F,35,4,"6'1""",214,Right,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,35,6.0,2.0,4.0,
Andy Moore,2002-01-22,Andy Moore|2002-01-22,Northeastern,F,36,4,"5'11""",198,Right,,Offense,Assists,0.06,0.30043859649122806,3.070175438596491,2025-26,36,4.0,2.0,2.0,
Jack Reimann,2002-10-10,Jack Reimann|2002-10-10,St. Cloud State,F,35,4,"6'0""",192,Right,,Offense,Assists,0.2,0.30043859649122806,34.64912280701755,2025-26,35,9.0,2.0,7.0,
Owen Neuharth,2001-10-25,Owen Neuharth|2001-10-25,Colgate,F,33,5,"5'11""",176,Right,,Offense,Assists,0.09,0.30043859649122806,6.871345029239766,2025-26,33,5.0,2.0,3.0,
Jack Collins,2001-11-13,Jack Collins|2001-11-13,UMass-Lowell,F,16,5,"6'3""",205,Left,,Offense,Assists,,0.30043859649122806,,2025-26,16,1.0,1.0,,
Ben Schoen,2002-05-18,Ben Schoen|2002-05-18,Penn State,F,36,5,"5'8""",154,Right,,Offense,Assists,0.28,0.30043859649122806,52.92397660818714,2025-26,36,12.0,2.0,10.0,
Brendan Fitzgerald,2003-03-06,Brendan Fitzgerald|2003-03-06,New Hampshire,D,36,4,"6'0""",165,Left,,Offense,Assists,0.39,0.2481720430107527,81.98924731182797,2025-26,36,16.0,2.0,14.0,
Jayden Sison,2003-01-27,Jayden Sison|2003-01-27,Princeton,F,33,5,"5'10""",170,Right,,Offense,Assists,0.18,0.30043859649122806,30.555555555555557,2025-26,33,8.0,2.0,6.0,
Alfred Lindberg,2002-01-28,Alfred Lindberg|2002-01-28,Rensselaer,F,33,4,"5'11""",187,Left,,Offense,Assists,0.24,0.30043859649122806,43.71345029239766,2025-26,33,10.0,2.0,8.0,
Philip Tornqvist,2001-08-24,Philip Tornqvist|2001-08-24,Vermont,D,33,5,"6'0""",194,Left,,Offense,Assists,0.21,0.2481720430107527,47.8494623655914,2025-26,33,9.0,2.0,7.0,
Jack Rogers,2002-09-23,Jack Rogers|2002-09-23,St. Cloud State,F,17,4,"6'2""",190,Right,,Offense,Assists,,0.30043859649122806,,2025-26,17,1.0,1.0,,
Connor McGrath,2003-09-04,Connor McGrath|2003-09-04,Ferris State,F,33,5,"5'11""",154,Left,,Offense,Assists,0.15,0.30043859649122806,24.12280701754386,2025-26,33,7.0,2.0,5.0,
Mason Langenbrunner,2002-09-14,Mason Langenbrunner|2002-09-14,Harvard,D,32,5,"6'3""",194,Right,,Offense,Assists,0.25,0.2481720430107527,57.52688172043011,2025-26,32,10.0,2.0,8.0,
Trevor Griebel,2001-03-07,Trevor Griebel|2001-03-07,Long Island,D,34,5,"5'10""",165,Left,,Offense,Assists,0.5,0.2481720430107527,91.12903225806451,2025-26,34,19.0,2.0,17.0,
Patrik Satosaari,2001-06-18,Patrik Satosaari|2001-06-18,Bemidji State,D,16,5,"5'10""",172,Left,,Offense,Assists,0.06,0.2481720430107527,10.483870967741936,2025-26,16,2.0,1.0,1.0,
Nicholas Marciano,2002-05-19,Nicholas Marciano|2002-05-19,Princeton,D,34,5,"6'0""",159,Left,,Offense,Assists,0.24,0.2481720430107527,55.107526881720425,2025-26,34,10.0,2.0,8.0,
Mason Reiners,2001-05-03,Mason Reiners|2001-05-03,St. Cloud State,D,36,5,"6'1""",192,Right,,Offense,Assists,0.17,0.2481720430107527,37.096774193548384,2025-26,36,8.0,2.0,6.0,
Trey Funk,2002-04-11,Trey Funk|2002-04-11,Canisius,F,34,4,"6'1""",181,Right,,Offense,Assists,0.06,0.30043859649122806,3.070175438596491,2025-26,34,4.0,2.0,2.0,
Broten Sabo,2002-08-09,Broten Sabo|2002-08-09,Ohio State,D,35,4,"6'3""",205,Left,,Offense,Assists,0.51,0.2481720430107527,93.27956989247312,2025-26,35,20.0,2.0,18.0,
Logan Acheson,2002-04-24,Logan Acheson|2002-04-24,Alaska Anchorage,D,34,5,"5'10""",179,Left,,Offense,Assists,0.26,0.2481720430107527,60.483870967741936,2025-26,34,11.0,2.0,9.0,
Jake Bongo,2003-02-04,Jake Bongo|2003-02-04,Sacred Heart,F,38,4,"5'10""",170,Right,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,38,6.0,2.0,4.0,
Aram Minnetian,2005-03-01,Aram Minnetian|2005-03-01,Boston College,D,37,4,"5'11""",194,Right,,Offense,Assists,0.24,0.2481720430107527,55.107526881720425,2025-26,37,11.0,2.0,9.0,
Breck McKinley,2003-10-08,Breck McKinley|2003-10-08,Bowling Green,D,38,4,"5'10""",174,Right,,Offense,Assists,0.68,0.2481720430107527,98.9247311827957,2025-26,38,28.0,2.0,26.0,
Frankie Carogioiello,2002-06-21,Frankie Carogioiello|2002-06-21,St. Lawrence,F,37,4,"5'10""",174,Left,,Offense,Assists,0.11,0.30043859649122806,12.280701754385964,2025-26,37,6.0,2.0,4.0,
Ralfs Bergmanis,2002-03-13,Ralfs Bergmanis|2002-03-13,Minnesota State,D,40,5,"5'10""",174,Left,,Offense,Assists,0.35,0.2481720430107527,78.2258064516129,2025-26,40,16.0,2.0,14.0,
Patrick Geary,2004-02-18,Patrick Geary|2004-02-18,Michigan State,D,37,4,"6'1""",192,Left,,Offense,Assists,0.24,0.2481720430107527,55.107526881720425,2025-26,37,11.0,2.0,9.0,
